,ID,FolderName,PlantNumber,Side,Start,End,RootVolume,Genotype,Stage,WasSegmented,ImageSegments,Width
0,ID_826322_Lbmaya,A6dzrkjqvl,3,L,33,42,0.9,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_826322_Lbmaya.png,908
1,ID_718181_Bslpwx,Ypktwvqjbn,7,L,33,41,1.5,IBA154810,Early,False,merged_images\train\ID_718181_Bslpwx.png,951
2,ID_465762_L1n61d,Ox18ob0syv,4,R,21,28,2.7,IBA980581,Early,False,merged_images\train\ID_465762_L1n61d.png,54
3,ID_626872_Pbmx2e,Hqcekwpxgu,2,R,30,39,2.6,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_626872_Pbmx2e.png,932
4,ID_518846_Opko8c,Ummqfuetoc,1,R,17,26,2.7,IBA980581,Early,False,merged_images\train\ID_518846_Opko8c.png,72
5,ID_167189_Lxr1uc,B5myqsh1wi,4,R,26,35,1.3,TMEB419,Early,False,merged_images\train\ID_167189_Lxr1uc.png,880
6,ID_171226_Jaqvha,L8w7zu7wek,5,R,27,33,4.5,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_171226_Jaqvha.png,34
7,ID_174315_Lw9ftc,Izbgyxre0g,2,L,24,37,3.7,IBA154810,Early,False,merged_images\train\ID_174315_Lw9ftc.png,947
8,ID_216014_Djn5n6,Vinlgebupo,2,L,23,29,0.4,IBA980581,Early,False,merged_images\train\ID_216014_Djn5n6.png,849
9,ID_737506_Hrpn4d,Hc3b9gicdo,5,L,37,45,3.1,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_737506_Hrpn4d.png,978
10,ID_199600_Ewizmo,Lzkaccojep,4,L,24,39,6.2,TMEB419,Early,False,merged_images\train\ID_199600_Ewizmo.png,956
11,ID_435671_Aebsus,Q4uyruus4j,4,R,27,33,2.8,IBA980581,Early,False,merged_images\train\ID_435671_Aebsus.png,58
12,ID_619181_Naqnhc,Yxmmb4wt55,4,R,17,32,3.0,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_619181_Naqnhc.png,44
13,ID_386102_Nxfbxd,Sauopakhvn,4,R,21,45,0.5,TMEB419,Early,False,merged_images\train\ID_386102_Nxfbxd.png,1104
14,ID_989335_Vfh75b,Mpmvh2mgm3,3,L,32,40,4.9,TMEB419,Early,False,merged_images\train\ID_989335_Vfh75b.png,1030
15,ID_130988_Lor3j3,B8x7mhxe6z,1,R,20,30,0.8,IBA154810,Early,False,merged_images\train\ID_130988_Lor3j3.png,118
16,ID_748330_Wng7lt,Kjvcz6bjfj,5,R,26,39,0.2,IBA980581,Early,False,merged_images\train\ID_748330_Wng7lt.png,23
17,ID_682864_Lewqed,Ntqusw7xpb,4,R,37,46,2.2,TMEB419,Early,False,merged_images\train\ID_682864_Lewqed.png,1030
18,ID_541673_F5dfwh,Ecxdebmlnr,3,R,25,36,0.02,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_541673_F5dfwh.png,64
19,ID_700584_N3yrce,V6awcupt6m,5,R,28,39,2.3,TMEB693,Early,False,merged_images\train\ID_700584_N3yrce.png,1008
20,ID_389935_Wf0rvu,Ah4ubi4ggi,5,R,27,44,2.3,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_389935_Wf0rvu.png,62
21,ID_916044_G6ck2f,Ph2ti2sjzu,3,L,22,35,0.01,IBA980581,Early,False,merged_images\train\ID_916044_G6ck2f.png,943
22,ID_414102_Nbkm4z,Vlqr6qhbqk,2,R,32,40,1.8,IBA154810,Early,False,merged_images\train\ID_414102_Nbkm4z.png,33
23,ID_912053_Mg3hwe,Idiolerx47,5,L,10,20,3.0,IITA-TMS-IBA000070,Late,False,merged_images\train\ID_912053_Mg3hwe.png,124
24,ID_661969_Lnu1x9,Pw4ytibfql,4,L,25,32,1.5,TMEB419,Early,False,merged_images\train\ID_661969_Lnu1x9.png,956
25,ID_522599_Uvg4bq,Gernxgxbnu,5,L,14,19,0.0,TMEB419,Late,True,merged_images\train\ID_522599_Uvg4bq.png,108
26,ID_598519_Gvxcep,Lsdgz02kdp,7,L,29,40,2.1,TMEB693,Early,False,merged_images\train\ID_598519_Gvxcep.png,1027
27,ID_885908_Ijv0l9,Mpmvh2mgm3,4,L,32,40,4.8,TMEB419,Early,False,merged_images\train\ID_885908_Ijv0l9.png,1030
28,ID_327566_Rnomjq,Xrrcqvdbkw,5,R,27,36,2.9,IBA154810,Early,False,merged_images\train\ID_327566_Rnomjq.png,44
29,ID_661938_Ejfr2m,Zplb9xaxis,3,L,19,26,0.3,TMEB693,Late,False,merged_images\train\ID_661938_Ejfr2m.png,60
30,ID_871687_Ojcyma,Dz9lpsl9ae,5,L,37,46,1.4,TMEB419,Early,False,merged_images\train\ID_871687_Ojcyma.png,862
31,ID_824915_A9kvq3,Vlcavd4dwj,5,L,34,42,4.5,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_824915_A9kvq3.png,997
32,ID_624401_Iohnop,Ifqbqqrika,2,L,26,32,1.4,TMEB693,Early,False,merged_images\train\ID_624401_Iohnop.png,913
33,ID_134905_Id9pcw,Qhqftdiz4q,5,R,49,60,1.9,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_134905_Id9pcw.png,899
34,ID_260205_Ehppmv,Qhqftdiz4q,4,R,49,60,4.5,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_260205_Ehppmv.png,899
35,ID_794937_Y224fs,Pw4ytibfql,5,L,25,32,1.9,TMEB419,Early,False,merged_images\train\ID_794937_Y224fs.png,956
36,ID_677302_Zjlged,Ah4ubi4ggi,4,L,42,49,0.8,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_677302_Zjlged.png,903
37,ID_432572_Ygv3sh,Xdi1ipcemf,5,R,32,38,4.2,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_432572_Ygv3sh.png,978
38,ID_387368_Aitmyp,Yznlv6wrsh,3,L,30,39,0.4,DIXON,Early,False,merged_images\train\ID_387368_Aitmyp.png,901
39,ID_684183_Sdvb3a,Pctl4tyb9l,4,L,46,53,7.9,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_684183_Sdvb3a.png,937
40,ID_477341_Almkhm,Ubgsvkns3h,4,L,33,40,0.65,IKN130010,Early,False,merged_images\train\ID_477341_Almkhm.png,902
41,ID_612373_P9lo1t,Wgutyon8uu,5,R,23,37,1.8,TMEB419,Early,False,merged_images\train\ID_612373_P9lo1t.png,1050
42,ID_605863_Gfc23p,Rzyf8hal4j,7,L,32,40,1.3,IBA154810,Early,False,merged_images\train\ID_605863_Gfc23p.png,33
43,ID_308291_Wsm6xe,Ummqfuetoc,5,L,25,32,2.1,IBA980581,Early,False,merged_images\train\ID_308291_Wsm6xe.png,993
44,ID_819632_Ytjapa,Mskdmpitqk,3,R,27,36,1.4,TMEB419,Early,False,merged_images\train\ID_819632_Ytjapa.png,38
45,ID_469361_Rhupas,Mskdmpitqk,4,R,27,36,2.1,TMEB419,Early,False,merged_images\train\ID_469361_Rhupas.png,38
46,ID_935675_Rve787,Me1ufzzcxk,5,R,23,32,0.02,TMEB419,Early,False,merged_images\train\ID_935675_Rve787.png,947
47,ID_456912_Blrqzy,Ah4ubi4ggi,3,L,42,49,2.3,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_456912_Blrqzy.png,903
48,ID_601291_Krxvyc,Mylwjeq6tq,4,R,19,42,2.7,IBA980581,Early,False,merged_images\train\ID_601291_Krxvyc.png,1006
49,ID_804694_Fiysfq,Ifqbqqrika,6,L,26,32,0.8,TMEB693,Early,False,merged_images\train\ID_804694_Fiysfq.png,913
50,ID_619512_Hveydf,Dz9lpsl9ae,2,R,45,50,0.9,TMEB419,Early,False,merged_images\train\ID_619512_Hveydf.png,43
51,ID_613613_Nlusan,Qinorm9cg3,6,R,22,30,0.4,IBA980581,Early,False,merged_images\train\ID_613613_Nlusan.png,921
52,ID_211500_Ndgm1d,Vbkivqphuz,5,L,20,32,2.1,TMEB693,Early,False,merged_images\train\ID_211500_Ndgm1d.png,955
53,ID_972865_Fn6ars,Puya1uaaln,3,R,16,37,3.8,TMEB419,Early,False,merged_images\train\ID_972865_Fn6ars.png,37
54,ID_885233_Ay9evt,Ifqbqqrika,3,R,20,25,0.3,TMEB693,Early,False,merged_images\train\ID_885233_Ay9evt.png,908
55,ID_378379_Edfqp5,Lsdgz02kdp,4,R,17,27,1.7,TMEB693,Early,False,merged_images\train\ID_378379_Edfqp5.png,1035
56,ID_470797_Ayxwed,Dz9lpsl9ae,3,L,37,46,2.5,TMEB419,Early,False,merged_images\train\ID_470797_Ayxwed.png,862
57,ID_636792_Iqfew2,L5l1h3kekg,4,L,38,50,1.4,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_636792_Iqfew2.png,41
58,ID_930483_Dtfg1r,Pucqtyga9u,3,L,30,40,0.5,TMEB419,Early,False,merged_images\train\ID_930483_Dtfg1r.png,899
59,ID_543377_Puizhy,Puya1uaaln,4,R,16,37,1.9,TMEB419,Early,False,merged_images\train\ID_543377_Puizhy.png,37
60,ID_588554_Hzpbye,P3om3dfa78,1,R,21,31,0.9,TMEB419,Early,False,merged_images\train\ID_588554_Hzpbye.png,61
61,ID_750705_Fl3z8e,Ot13d4nq6t,3,L,41,50,0.5,DIXON,Early,False,merged_images\train\ID_750705_Fl3z8e.png,935
62,ID_326412_Yepco3,Jtcfkuovxk,4,R,28,45,0.4,TMEB693,Early,False,merged_images\train\ID_326412_Yepco3.png,966
63,ID_717973_Dmcd2q,Vinlgebupo,6,L,23,29,0.8,IBA980581,Early,False,merged_images\train\ID_717973_Dmcd2q.png,849
64,ID_434216_Bjmknr,F3odypnsyf,5,L,15,23,3.4,IITA-TMS-IBA000070,Late,True,merged_images\train\ID_434216_Bjmknr.png,113
65,ID_147245_X3bsuc,Wgutyon8uu,3,L,18,45,1.8,TMEB419,Early,False,merged_images\train\ID_147245_X3bsuc.png,26
66,ID_643905_Ruonfx,Lwuwokuhrf,5,R,15,30,5.8,TMEB419,Early,False,merged_images\train\ID_643905_Ruonfx.png,112
67,ID_279168_I3ptav,Hzapvbcfm8,4,R,24,30,1.4,IBA154810,Early,False,merged_images\train\ID_279168_I3ptav.png,938
68,ID_772320_Mbgwbz,Vbkivqphuz,3,R,30,38,2.1,TMEB693,Early,False,merged_images\train\ID_772320_Mbgwbz.png,943
69,ID_262580_W6oitf,H9lomh5fxk,5,L,40,50,0.3,TMEB419,Early,False,merged_images\train\ID_262580_W6oitf.png,26
70,ID_311146_Vhntsv,L8w7zu7wek,3,L,33,51,4.5,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_311146_Vhntsv.png,964
71,ID_721485_Slgu6q,Mskdmpitqk,4,L,21,36,2.1,TMEB419,Early,False,merged_images\train\ID_721485_Slgu6q.png,83
72,ID_714845_Rfhbdv,Isdzz86frg,6,L,10,23,2.3,IITA-TMS-IBA000070,Late,False,merged_images\train\ID_714845_Rfhbdv.png,162
73,ID_677067_Lk1opz,S6lk1xauct,5,L,28,33,2.3,TMEB419,Early,False,merged_images\train\ID_677067_Lk1opz.png,868
74,ID_364756_Ypesry,Jrem9eo37e,5,L,29,36,2.6,IBA154810,Early,False,merged_images\train\ID_364756_Ypesry.png,907
75,ID_106896_Zl2dzl,Pucqtyga9u,6,R,37,43,1.5,TMEB419,Early,False,merged_images\train\ID_106896_Zl2dzl.png,905
76,ID_820530_Axdmox,Pw4ytibfql,2,R,28,35,1.4,TMEB419,Early,False,merged_images\train\ID_820530_Axdmox.png,26
77,ID_543302_Ce9sym,Yjzw2bylox,6,L,25,32,0.9,TMEB693,Early,False,merged_images\train\ID_543302_Ce9sym.png,1011
78,ID_381199_Gmjp9s,V6awcupt6m,6,L,34,41,0.2,TMEB693,Early,False,merged_images\train\ID_381199_Gmjp9s.png,26
79,ID_568055_Ynpzbb,Xydfltswbm,5,L,43,50,2.5,IBA154810,Early,False,merged_images\train\ID_568055_Ynpzbb.png,985
80,ID_162495_Ppjteb,Pucqtyga9u,2,R,37,43,0.5,TMEB419,Early,False,merged_images\train\ID_162495_Ppjteb.png,905
81,ID_964010_Vm9kue,L8w7zu7wek,2,R,27,33,2.2,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_964010_Vm9kue.png,34
82,ID_375603_Gdqrl8,Kjvcz6bjfj,3,R,26,39,2.3,IBA980581,Early,False,merged_images\train\ID_375603_Gdqrl8.png,23
83,ID_722021_Zddwq1,Rzyf8hal4j,3,L,32,40,3.0,IBA154810,Early,False,merged_images\train\ID_722021_Zddwq1.png,33
84,ID_170847_F3fsoi,Lwuwokuhrf,1,R,15,30,3.1,TMEB419,Early,False,merged_images\train\ID_170847_F3fsoi.png,112
85,ID_754042_Owwqpa,Tbhppxjkvr,5,L,22,31,2.7,IBA980581,Early,False,merged_images\train\ID_754042_Owwqpa.png,1002
86,ID_645074_Wwbbkm,Miny0c252a,2,R,28,35,2.8,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_645074_Wwbbkm.png,976
87,ID_712776_Muhdiq,Hzapvbcfm8,6,R,24,30,0.75,IBA154810,Early,False,merged_images\train\ID_712776_Muhdiq.png,938
88,ID_791725_Rhiidd,Toaefqwoli,6,L,37,47,0.5,TMEB419,Early,False,merged_images\train\ID_791725_Rhiidd.png,875
89,ID_668337_Sbyzrp,Puya1uaaln,4,L,26,42,1.9,TMEB419,Early,False,merged_images\train\ID_668337_Sbyzrp.png,933
90,ID_260577_Zumui0,Rzyf8hal4j,5,R,38,47,3.0,IBA154810,Early,False,merged_images\train\ID_260577_Zumui0.png,955
91,ID_757689_Dcife2,Vlcavd4dwj,3,L,34,42,2.8,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_757689_Dcife2.png,997
92,ID_322039_Ygm7e5,Cex3glsnzv,7,L,40,47,0.2,DIXON,Early,False,merged_images\train\ID_322039_Ygm7e5.png,982
93,ID_906453_Jtgmbn,Vlqr6qhbqk,6,L,48,55,1.8,IBA154810,Early,False,merged_images\train\ID_906453_Jtgmbn.png,30
94,ID_547014_P8mj1g,S6lk1xauct,4,L,28,33,2.1,TMEB419,Early,False,merged_images\train\ID_547014_P8mj1g.png,868
95,ID_432631_Fnb8jf,Q91mym9ev4,3,R,22,30,1.7,TMEB693,Early,False,merged_images\train\ID_432631_Fnb8jf.png,952
96,ID_597793_X99k4f,Tbhppxjkvr,3,R,16,24,2.7,IBA980581,Early,False,merged_images\train\ID_597793_X99k4f.png,988
97,ID_755935_Bzrkjq,Aevcaxguiw,2,L,8,16,4.2,IITA-TMS-IBA000070,Late,False,merged_images\train\ID_755935_Bzrkjq.png,82
98,ID_325246_Pppt37,S6lk1xauct,3,R,24,39,2.3,TMEB419,Early,False,merged_images\train\ID_325246_Pppt37.png,865
99,ID_175452_Du2oso,Dhfwcg1uj2,2,R,20,32,0.9,IBA154810,Early,False,merged_images\train\ID_175452_Du2oso.png,57
100,ID_778253_Ffmftz,Rzyf8hal4j,4,L,32,40,1.8,IBA154810,Early,False,merged_images\train\ID_778253_Ffmftz.png,33
101,ID_335091_Rceu2s,Ecxdebmlnr,1,R,25,36,0.3,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_335091_Rceu2s.png,64
102,ID_753044_J7koen,Izbgyxre0g,5,R,22,33,2.2,IBA154810,Early,False,merged_images\train\ID_753044_J7koen.png,85
103,ID_924076_Gqkl6j,Ph2ti2sjzu,4,L,22,35,4.2,IBA980581,Early,False,merged_images\train\ID_924076_Gqkl6j.png,943
104,ID_246322_Wcvxox,B8x7mhxe6z,7,L,23,33,0.8,IBA154810,Early,False,merged_images\train\ID_246322_Wcvxox.png,969
105,ID_871726_Heyzw6,Xydfltswbm,3,L,43,50,0.5,IBA154810,Early,False,merged_images\train\ID_871726_Heyzw6.png,985
106,ID_495384_Ezhnq9,Xrrcqvdbkw,3,R,27,36,2.1,IBA154810,Early,False,merged_images\train\ID_495384_Ezhnq9.png,44
107,ID_225072_B3txqy,Ah4ubi4ggi,3,R,27,44,3.1,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_225072_B3txqy.png,62
108,ID_290289_L4hhmq,L8w7zu7wek,5,L,33,51,2.9,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_290289_L4hhmq.png,964
109,ID_198688_Euc97b,F5lrpuuq8q,2,R,23,31,2.7,IBA980581,Early,False,merged_images\train\ID_198688_Euc97b.png,1001
110,ID_224297_Plu8jf,Dhfwcg1uj2,6,L,20,32,0.9,IBA154810,Early,False,merged_images\train\ID_224297_Plu8jf.png,967
111,ID_375872_E2puro,Rzyf8hal4j,2,R,38,47,1.4,IBA154810,Early,False,merged_images\train\ID_375872_E2puro.png,955
112,ID_327496_F9llgg,Klhqlr0ako,5,L,38,47,1.4,TMEB693,Early,False,merged_images\train\ID_327496_F9llgg.png,959
113,ID_140931_Eidoxm,Lwuwokuhrf,7,L,25,40,3.1,TMEB419,Early,False,merged_images\train\ID_140931_Eidoxm.png,978
114,ID_287267_Egezfb,S6lk1xauct,4,R,24,39,2.1,TMEB419,Early,False,merged_images\train\ID_287267_Egezfb.png,865
115,ID_194164_Bsrwho,Pucqtyga9u,4,R,37,43,1.4,TMEB419,Early,False,merged_images\train\ID_194164_Bsrwho.png,905
116,ID_789159_Aqdtho,Kcqzgef5an,7,L,18,27,0.0,TMEB693,Early,False,merged_images\train\ID_789159_Aqdtho.png,1006
117,ID_309524_Tsywg8,Kjvcz6bjfj,4,R,26,39,2.1,IBA980581,Early,False,merged_images\train\ID_309524_Tsywg8.png,23
118,ID_526113_Y4b17u,A6dzrkjqvl,4,L,33,42,1.8,IITA-TMS-IBA000070,Early,False,merged_images\train\ID_526113_Y4b17u.png,908
119,ID_105069_Ivzzqa,Jtcfkuovxk,5,L,18,26,2.1,TMEB693,Early,False,merged_images\train\ID_105069_Ivzzqa.png,1016
120,ID_761355_Ksxzhs,Hzapvbcfm8,2,R,24,30,1.7,IBA154810,Early,False,merged_images\train\ID_761355_Ksxzhs.png,938
121,ID_502352_Sz2zeb,Hzapvbcfm8,4,L,19,35,1.4,IBA154810,Early,False,merged_images\train\ID_502352_Sz2zeb.png,943
122,ID_964577_Dvzz6h,Ummqfuetoc,2,R,17,26,2.2,IBA980581,Early,False,merged_images\train\ID_964577_Dvzz6h.png,72
123,ID_458058_L3ygsi,V6awcupt6m,5,L,34,41,0.8,TMEB693,Early,False,merged_images\train\ID_458058_L3ygsi.png,26
124,ID_934120_Rpwsrz,Ceibvxd51g,3,R,37,45,0.1,DIXON,Early,False,merged_images\train\ID_934120_Rpwsrz.png,22
125,ID_185883_Bt6qfa,Ot13d4nq6t,2,L,41,50,0.5,DIXON,Early,False,merged_images\train\ID_185883_Bt6qfa.png,935
126,ID_388923_Vspgeb,Jtcfkuovxk,4,L,18,26,0.4,TMEB693,Early,False,merged_images\train\ID_388923_Vspgeb.png,1016
127,ID_228448_Fpjidx,Pucqtyga9u,4,L,30,40,1.4,TMEB419,Early,False,merged_images\train\ID_228448_Fpjidx.png,899
